1,4,Yes
1,171,Yes
1,35,No
1,112,Yes
1,67,Yes
1,119,Yes
1,26,Yes
1,106,Yes
1,83,Yes
1,31,Yes
1,38,Yes
2,88,Yes
2,123,Yes
2,152,No
2,134,Yes
2,170,Yes
2,161,Yes
2,120,Yes
2,3,Yes
2,35,Yes
2,100,Yes
2,73,No
2,16,Yes
2,125,No
2,142,Yes
3,48,No
3,146,No
3,82,Yes
3,83,Yes
3,197,Yes
3,1,Yes
3,38,Yes
3,180,Yes
3,174,Yes
3,51,Yes
3,54,Yes
3,88,Yes
3,58,Yes
3,16,No
3,177,Yes
3,169,Yes
3,84,Yes
3,96,Yes
3,152,Yes
3,89,Yes
3,70,Yes
3,193,No
3,72,Yes
3,99,Yes
3,29,Yes
3,45,Yes
3,165,Yes
3,157,Yes
3,125,Yes
3,190,Yes
3,71,Yes
4,188,Yes
4,12,Yes
4,144,Yes
4,51,No
4,195,No
4,112,Yes
4,90,Yes
4,72,Yes
4,97,Yes
4,23,Yes
4,93,Yes
4,129,No
4,127,No
4,177,Yes
4,139,Yes
4,49,Yes
4,136,Yes
4,47,Yes
4,131,Yes
4,185,No
4,67,Yes
4,33,Yes
4,133,No
4,71,No
4,182,Yes
4,168,Yes
4,124,Yes
4,55,No
4,5,Yes
5,60,Yes
5,197,Yes
5,23,Yes
5,22,Yes
5,47,Yes
5,163,Yes
5,179,No
5,169,Yes
5,67,No
6,166,Yes
6,142,Yes
6,100,Yes
6,168,Yes
6,163,Yes
6,83,Yes
6,90,No
6,120,No
6,186,Yes
6,195,Yes
6,78,Yes
6,189,No
6,97,Yes
6,5,Yes
6,70,No
6,30,Yes
6,24,Yes
6,175,Yes
7,57,Yes
7,155,Yes
7,138,Yes
7,115,Yes
7,166,Yes
7,178,No
7,150,No
7,5,Yes
7,199,No
7,73,Yes
7,171,Yes
7,148,Yes
7,80,Yes
8,11,No
8,63,Yes
8,94,Yes
8,78,Yes
8,38,Yes
8,21,Yes
8,77,No
8,153,Yes
8,120,No
8,42,No
8,114,Yes
8,34,Yes
8,185,Yes
8,178,Yes
8,25,No
8,54,No
8,197,Yes
8,91,Yes
8,59,Yes
8,72,Yes
8,35,Yes
8,96,No
9,194,Yes
9,52,Yes
9,183,No
9,51,No
9,156,Yes
9,77,Yes
9,197,Yes
9,43,Yes
9,58,Yes
9,61,Yes
9,103,Yes
9,74,Yes
9,78,Yes
9,73,Yes
9,75,Yes
9,124,Yes
9,151,Yes
9,30,Yes
9,174,Yes
9,146,No
9,180,No
10,1,Yes
10,56,Yes
10,39,Yes
10,126,Yes
10,67,Yes
10,7,Yes
10,138,Yes
10,113,Yes
10,108,Yes
10,34,Yes
10,192,Yes
11,17,Yes
11,135,Yes
11,181,No
11,112,No
11,54,Yes
11,171,No
11,116,Yes
11,187,No
11,130,Yes
11,93,Yes
11,33,Yes
11,120,Yes
11,103,No
11,48,No
11,84,Yes
12,135,No
12,119,Yes
12,24,No
12,154,Yes
12,144,Yes
12,36,Yes
12,81,Yes
12,184,Yes
12,45,Yes
13,42,Yes
13,99,Yes
13,84,Yes
13,176,Yes
13,55,Yes
13,152,Yes
13,135,Yes
13,41,Yes
13,114,Yes
13,65,Yes
13,165,Yes
13,18,No
13,187,Yes
13,123,Yes
13,93,Yes
13,105,Yes
13,153,Yes
13,19,Yes
13,151,Yes
13,6,Yes
13,59,Yes
14,68,Yes
14,90,Yes
14,73,Yes
14,75,Yes
14,188,Yes
14,63,No
14,7,Yes
14,24,Yes
15,90,Yes
15,101,No
15,125,Yes
15,114,No
15,50,No
15,22,Yes
15,116,No
15,134,Yes
15,53,No
15,112,Yes
15,3,Yes
15,87,Yes
15,94,Yes
15,172,Yes
15,133,Yes
15,126,Yes
16,58,Yes
16,94,No
16,155,No
16,184,Yes
16,185,Yes
16,100,No
16,121,Yes
16,29,No
16,177,No
16,169,Yes
16,101,No
16,15,Yes
16,192,No
16,38,Yes
16,88,Yes
16,109,No
16,77,Yes
16,147,Yes
16,13,Yes
16,179,Yes
16,142,No
16,158,Yes
16,82,Yes
16,188,Yes
16,120,Yes
16,171,Yes
16,112,Yes
16,49,Yes
16,156,Yes
16,127,Yes
17,5,No
17,123,Yes
17,101,Yes
17,8,Yes
17,22,Yes
17,178,Yes
17,146,Yes
17,4,Yes
17,85,Yes
17,116,No
17,27,No
17,48,No
17,140,Yes
17,74,Yes
17,152,Yes
17,57,Yes
17,108,Yes
17,181,Yes
17,154,Yes
17,59,Yes
17,87,No
17,6,Yes
17,75,Yes
17,126,Yes
17,200,No
17,102,No
17,68,Yes
17,104,Yes
17,13,Yes
17,174,Yes
18,155,Yes
18,180,Yes
18,129,Yes
18,101,Yes
18,89,Yes
18,181,Yes
18,143,Yes
18,100,No
18,93,No
18,99,Yes
18,138,No
18,173,Yes
18,136,Yes
18,110,Yes
19,46,Yes
19,150,Yes
19,130,Yes
19,125,No
19,131,Yes
19,149,Yes
19,78,Yes
19,62,Yes
19,7,Yes
19,42,No
19,110,Yes
19,74,No
19,95,Yes
19,24,Yes
20,92,Yes
20,116,Yes
20,84,Yes
20,146,No
20,102,Yes
20,69,Yes
20,152,Yes
20,66,No
20,136,Yes
20,112,Yes
20,2,Yes
20,140,Yes
20,172,No
20,86,No
20,58,Yes
20,163,Yes
21,66,Yes
21,92,Yes
21,63,No
21,193,Yes
21,81,Yes
21,23,Yes
21,82,Yes
21,179,Yes
21,156,No
21,95,Yes
21,113,Yes
21,114,No
21,124,Yes
21,144,Yes
21,90,Yes
21,5,Yes
21,97,Yes
22,133,No
22,55,No
22,16,No
22,189,Yes
22,150,Yes
